Data_Flow_ID,Flow_Run_Date,Settlement_Date,Settlement_Run_Type,SAA_Run_Number,CDCA_Run_Number,SVAA_Settlement_Date,SVAA_Run_Number,SSR_Run_Number,BSC_Party_ID,Settlement_Period,Market_Index_Data_Provider_ID,Individual_Liquidity_Threshold,Market_Index_Price,Market_Index_Volume,SortKey
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,1,APXMIDP,25,26.52,497.8,2020050101DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,1,N2EXMIDP,25,0,0,2020050101DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,2,APXMIDP,25,23.83,568.35,2020050102DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,2,N2EXMIDP,25,0,0,2020050102DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,3,APXMIDP,25,20.49,470.4,2020050103DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,3,N2EXMIDP,25,0,0,2020050103DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,4,APXMIDP,25,22.36,429.55,2020050104DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,4,N2EXMIDP,25,0,0,2020050104DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,5,APXMIDP,25,23.28,498.2,2020050105DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,5,N2EXMIDP,25,0,0,2020050105DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,6,APXMIDP,25,19.69,550.9,2020050106DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,6,N2EXMIDP,25,0,0,2020050106DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,7,APXMIDP,25,22.31,426.8,2020050107DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,7,N2EXMIDP,25,0,0,2020050107DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,8,APXMIDP,25,22.98,496.05,2020050108DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,8,N2EXMIDP,25,0,0,2020050108DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,9,APXMIDP,25,23.21,436.8,2020050109DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,9,N2EXMIDP,25,0,0,2020050109DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,10,APXMIDP,25,23.03,339.2,2020050110DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,10,N2EXMIDP,25,0,0,2020050110DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,11,APXMIDP,25,23.41,499.2,2020050111DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,11,N2EXMIDP,25,0,0,2020050111DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,12,APXMIDP,25,20.27,573.1,2020050112DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,12,N2EXMIDP,25,0,0,2020050112DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,13,APXMIDP,25,23.25,618.75,2020050113DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,13,N2EXMIDP,25,0,0,2020050113DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,14,APXMIDP,25,21.58,745.8,2020050114DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,14,N2EXMIDP,25,0,0,2020050114DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,15,APXMIDP,25,23.82,1049.15,2020050115DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,15,N2EXMIDP,25,0,0,2020050115DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,16,APXMIDP,25,27.1,1099.95,2020050116DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,16,N2EXMIDP,25,0,0,2020050116DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,17,APXMIDP,25,30.6,1248.05,2020050117DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,17,N2EXMIDP,25,0,0,2020050117DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,18,APXMIDP,25,33.1,2396.8,2020050118DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,18,N2EXMIDP,25,0,0,2020050118DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,19,APXMIDP,25,32.71,1651.15,2020050119DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,19,N2EXMIDP,25,0,0,2020050119DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,20,APXMIDP,25,32.76,1800.4,2020050120DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,20,N2EXMIDP,25,0,0,2020050120DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,21,APXMIDP,25,32.22,1418.3,2020050121DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,21,N2EXMIDP,25,0,0,2020050121DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,22,APXMIDP,25,32.43,1604.1,2020050122DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,22,N2EXMIDP,25,0,0,2020050122DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,23,APXMIDP,25,33.01,1252.15,2020050123DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,23,N2EXMIDP,25,0,0,2020050123DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,24,APXMIDP,25,32.65,1185.65,2020050124DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,24,N2EXMIDP,25,0,0,2020050124DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,25,APXMIDP,25,33.16,1280.85,2020050125DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,25,N2EXMIDP,25,0,0,2020050125DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,26,APXMIDP,25,32.99,1254.4,2020050126DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,26,N2EXMIDP,25,0,0,2020050126DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,27,APXMIDP,25,30.58,1473.1,2020050127DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,27,N2EXMIDP,25,0,0,2020050127DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,28,APXMIDP,25,30.46,1517.75,2020050128DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,28,N2EXMIDP,25,0,0,2020050128DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,29,APXMIDP,25,28.54,1620.55,2020050129DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,29,N2EXMIDP,25,0,0,2020050129DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,30,APXMIDP,25,28.06,1579.5,2020050130DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,30,N2EXMIDP,25,0,0,2020050130DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,31,APXMIDP,25,23.79,1550.85,2020050131DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,31,N2EXMIDP,25,0,0,2020050131DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,32,APXMIDP,25,22.72,1364.15,2020050132DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,32,N2EXMIDP,25,0,0,2020050132DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,33,APXMIDP,25,22.49,1587.4,2020050133DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,33,N2EXMIDP,25,0,0,2020050133DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,34,APXMIDP,25,22.28,1673.3,2020050134DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,34,N2EXMIDP,25,0,0,2020050134DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,35,APXMIDP,25,24.63,1098.35,2020050135DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,35,N2EXMIDP,25,0,0,2020050135DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,36,APXMIDP,25,23.47,1074.6,2020050136DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,36,N2EXMIDP,25,0,0,2020050136DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,37,APXMIDP,25,23.5,1198.45,2020050137DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,37,N2EXMIDP,25,0,0,2020050137DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,38,APXMIDP,25,25.73,1396.5,2020050138DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,38,N2EXMIDP,25,0,0,2020050138DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,39,APXMIDP,25,29.98,1017.65,2020050139DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,39,N2EXMIDP,25,0,0,2020050139DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,40,APXMIDP,25,30.01,926.2,2020050140DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,40,N2EXMIDP,25,0,0,2020050140DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,41,APXMIDP,25,30.8,1109.35,2020050141DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,41,N2EXMIDP,25,0,0,2020050141DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,42,APXMIDP,25,30.47,1029,2020050142DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,42,N2EXMIDP,25,0,0,2020050142DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,43,APXMIDP,25,33.86,603.85,2020050143DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,43,N2EXMIDP,25,0,0,2020050143DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,44,APXMIDP,25,31.14,783.6,2020050144DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,44,N2EXMIDP,25,0,0,2020050144DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,45,APXMIDP,25,27.44,691.05,2020050145DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,45,N2EXMIDP,25,0,0,2020050145DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,46,APXMIDP,25,27.53,900.55,2020050146DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,46,N2EXMIDP,25,0,0,2020050146DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,47,APXMIDP,25,28.11,851.45,2020050147DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,47,N2EXMIDP,25,0,0,2020050147DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,48,APXMIDP,25,29.7,581.6,2020050148DF
S0142011,20220902,20200501,DF,7,19,20200501,19,56208,NGC,48,N2EXMIDP,25,0,0,2020050148DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,1,APXMIDP,25,28.19,506.05,2020050201DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,1,N2EXMIDP,25,0,0,2020050201DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,2,APXMIDP,25,25.36,598.6,2020050202DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,2,N2EXMIDP,25,0,0,2020050202DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,3,APXMIDP,25,25.07,444.7,2020050203DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,3,N2EXMIDP,25,0,0,2020050203DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,4,APXMIDP,25,21.8,481.8,2020050204DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,4,N2EXMIDP,25,0,0,2020050204DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,5,APXMIDP,25,21.79,534.8,2020050205DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,5,N2EXMIDP,25,0,0,2020050205DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,6,APXMIDP,25,15.77,648.5,2020050206DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,6,N2EXMIDP,25,0,0,2020050206DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,7,APXMIDP,25,20.32,547.4,2020050207DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,7,N2EXMIDP,25,0,0,2020050207DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,8,APXMIDP,25,19.83,574.4,2020050208DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,8,N2EXMIDP,25,0,0,2020050208DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,9,APXMIDP,25,20.29,524.05,2020050209DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,9,N2EXMIDP,25,0,0,2020050209DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,10,APXMIDP,25,20.91,495.8,2020050210DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,10,N2EXMIDP,25,0,0,2020050210DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,11,APXMIDP,25,21.73,527.3,2020050211DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,11,N2EXMIDP,25,0,0,2020050211DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,12,APXMIDP,25,17.56,557.2,2020050212DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,12,N2EXMIDP,25,0,0,2020050212DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,13,APXMIDP,25,17.19,787.4,2020050213DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,13,N2EXMIDP,25,0,0,2020050213DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,14,APXMIDP,25,15.95,855.9,2020050214DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,14,N2EXMIDP,25,0,0,2020050214DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,15,APXMIDP,25,11.84,774.1,2020050215DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,15,N2EXMIDP,25,0,0,2020050215DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,16,APXMIDP,25,11.82,764.3,2020050216DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,16,N2EXMIDP,25,0,0,2020050216DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,17,APXMIDP,25,11.22,794.55,2020050217DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,17,N2EXMIDP,25,0,0,2020050217DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,18,APXMIDP,25,12.86,858.15,2020050218DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,18,N2EXMIDP,25,0,0,2020050218DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,19,APXMIDP,25,13.68,904.1,2020050219DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,19,N2EXMIDP,25,0,0,2020050219DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,20,APXMIDP,25,13.1,829.7,2020050220DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,20,N2EXMIDP,25,0,0,2020050220DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,21,APXMIDP,25,12.66,1068.3,2020050221DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,21,N2EXMIDP,25,0,0,2020050221DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,22,APXMIDP,25,16.08,1418.1,2020050222DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,22,N2EXMIDP,25,0,0,2020050222DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,23,APXMIDP,25,22.84,1551.15,2020050223DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,23,N2EXMIDP,25,0,0,2020050223DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,24,APXMIDP,25,23.76,1295.2,2020050224DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,24,N2EXMIDP,25,0,0,2020050224DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,25,APXMIDP,25,25.79,1492,2020050225DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,25,N2EXMIDP,25,0,0,2020050225DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,26,APXMIDP,25,26.36,1619.65,2020050226DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,26,N2EXMIDP,25,0,0,2020050226DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,27,APXMIDP,25,26.09,1440,2020050227DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,27,N2EXMIDP,25,0,0,2020050227DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,28,APXMIDP,25,25.86,1583.15,2020050228DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,28,N2EXMIDP,25,0,0,2020050228DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,29,APXMIDP,25,26.22,1530.45,2020050229DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,29,N2EXMIDP,25,0,0,2020050229DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,30,APXMIDP,25,24.44,1594,2020050230DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,30,N2EXMIDP,25,0,0,2020050230DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,31,APXMIDP,25,26.47,1426,2020050231DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,31,N2EXMIDP,25,0,0,2020050231DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,32,APXMIDP,25,27.68,1444.4,2020050232DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,32,N2EXMIDP,25,0,0,2020050232DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,33,APXMIDP,25,28.38,1465.75,2020050233DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,33,N2EXMIDP,25,0,0,2020050233DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,34,APXMIDP,25,26.96,1823.6,2020050234DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,34,N2EXMIDP,25,0,0,2020050234DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,35,APXMIDP,25,29.4,941.55,2020050235DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,35,N2EXMIDP,25,0,0,2020050235DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,36,APXMIDP,25,34.13,1141.5,2020050236DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,36,N2EXMIDP,25,0,0,2020050236DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,37,APXMIDP,25,35.02,819.2,2020050237DF
S0142011,20220902,20200502,DF,7,19,20200502,19,56209,NGC,37,N2EXMIDP,25,0,0,2020050237DF
