Data_Flow_ID,Flow_Run_Date,Settlement_Date,Settlement_Run_Type,SAA_Run_Number,CDCA_Run_Number,SVAA_Settlement_Date,SVAA_Run_Number,SSR_Run_Number,BSC_Party_ID,Settlement_Period,Market_Index_Data_Provider_ID,Individual_Liquidity_Threshold,Market_Index_Price,Market_Index_Volume,SortKey
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,1,APXMIDP,25,-8.69,66.75,2018120801DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,1,N2EXMIDP,25,0,0,2018120801DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,2,APXMIDP,25,-1.49,330.05,2018120802DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,2,N2EXMIDP,25,0,0,2018120802DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,3,APXMIDP,25,-4.96,135.7,2018120803DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,3,N2EXMIDP,25,0,0,2018120803DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,4,APXMIDP,25,-4.34,143.2,2018120804DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,4,N2EXMIDP,25,0,0,2018120804DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,5,APXMIDP,25,-2,219.2,2018120805DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,5,N2EXMIDP,25,0,0,2018120805DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,6,APXMIDP,25,-1.35,365.5,2018120806DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,6,N2EXMIDP,25,0,0,2018120806DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,7,APXMIDP,25,1.92,235,2018120807DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,7,N2EXMIDP,25,0,0,2018120807DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,8,APXMIDP,25,3.37,270,2018120808DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,8,N2EXMIDP,25,0,0,2018120808DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,9,APXMIDP,25,-3.02,340.5,2018120809DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,9,N2EXMIDP,25,0,0,2018120809DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,10,APXMIDP,25,-5.86,408.8,2018120810DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,10,N2EXMIDP,25,0,0,2018120810DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,11,APXMIDP,25,9.45,215.75,2018120811DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,11,N2EXMIDP,25,0,0,2018120811DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,12,APXMIDP,25,4.76,421.6,2018120812DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,12,N2EXMIDP,25,0,0,2018120812DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,13,APXMIDP,25,20.71,247.45,2018120813DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,13,N2EXMIDP,25,0,0,2018120813DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,14,APXMIDP,25,32.65,380.85,2018120814DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,14,N2EXMIDP,25,0,0,2018120814DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,15,APXMIDP,25,47.3,430.5,2018120815DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,15,N2EXMIDP,25,0,0,2018120815DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,16,APXMIDP,25,47.19,390.5,2018120816DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,16,N2EXMIDP,25,0,0,2018120816DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,17,APXMIDP,25,47.81,239.5,2018120817DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,17,N2EXMIDP,25,0,0,2018120817DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,18,APXMIDP,25,48.96,236.25,2018120818DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,18,N2EXMIDP,25,0,0,2018120818DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,19,APXMIDP,25,49.32,356.5,2018120819DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,19,N2EXMIDP,25,0,0,2018120819DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,20,APXMIDP,25,48.21,433.5,2018120820DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,20,N2EXMIDP,25,0,0,2018120820DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,21,APXMIDP,25,48.9,472,2018120821DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,21,N2EXMIDP,25,0,0,2018120821DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,22,APXMIDP,25,49.96,510.45,2018120822DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,22,N2EXMIDP,25,0,0,2018120822DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,23,APXMIDP,25,56.4,316.5,2018120823DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,23,N2EXMIDP,25,0,0,2018120823DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,24,APXMIDP,25,56.25,421.75,2018120824DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,24,N2EXMIDP,25,0,0,2018120824DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,25,APXMIDP,25,55.86,526.75,2018120825DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,25,N2EXMIDP,25,0,0,2018120825DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,26,APXMIDP,25,56.35,516.25,2018120826DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,26,N2EXMIDP,25,0,0,2018120826DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,27,APXMIDP,25,57.59,508.75,2018120827DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,27,N2EXMIDP,25,0,0,2018120827DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,28,APXMIDP,25,63.32,801.9,2018120828DF
S0142009,20210413,20181208,DF,7,19,20181208,19,52275,NGC,28,N2EXMIDP,25,0,0,2018120828DF
