Data_Flow_ID,Flow_Run_Date,Settlement_Date,Settlement_Run_Type,SAA_Run_Number,CDCA_Run_Number,SVAA_Settlement_Date,SVAA_Run_Number,SSR_Run_Number,BSC_Party_ID,Settlement_Period,Market_Index_Data_Provider_ID,Individual_Liquidity_Threshold,Market_Index_Price,Market_Index_Volume,SortKey
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,1,APXMIDP,25,54.6,62.7,2019010401DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,1,N2EXMIDP,25,0,0,2019010401DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,2,APXMIDP,25,56.04,78.85,2019010402DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,2,N2EXMIDP,25,0,0,2019010402DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,3,APXMIDP,25,54.67,199.75,2019010403DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,3,N2EXMIDP,25,0,0,2019010403DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,4,APXMIDP,25,54.71,290.95,2019010404DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,4,N2EXMIDP,25,0,0,2019010404DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,5,APXMIDP,25,54.08,246.75,2019010405DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,5,N2EXMIDP,25,0,0,2019010405DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,6,APXMIDP,25,52.4,391.2,2019010406DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,6,N2EXMIDP,25,0,0,2019010406DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,7,APXMIDP,25,49.6,414.4,2019010407DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,7,N2EXMIDP,25,0,0,2019010407DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,8,APXMIDP,25,49.71,344.4,2019010408DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,8,N2EXMIDP,25,0,0,2019010408DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,9,APXMIDP,25,49.73,367.9,2019010409DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,9,N2EXMIDP,25,0,0,2019010409DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,10,APXMIDP,25,49.58,360.4,2019010410DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,10,N2EXMIDP,25,0,0,2019010410DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,11,APXMIDP,25,49.76,250.65,2019010411DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,11,N2EXMIDP,25,0,0,2019010411DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,12,APXMIDP,25,50,87,2019010412DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,12,N2EXMIDP,25,0,0,2019010412DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,13,APXMIDP,25,54.53,51,2019010413DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,13,N2EXMIDP,25,0,0,2019010413DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,14,APXMIDP,25,51.8,107,2019010414DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,14,N2EXMIDP,25,0,0,2019010414DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,15,APXMIDP,25,56.61,380.15,2019010415DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,15,N2EXMIDP,25,0,0,2019010415DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,16,APXMIDP,25,57.46,271.45,2019010416DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,16,N2EXMIDP,25,0,0,2019010416DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,17,APXMIDP,25,56.59,195,2019010417DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,17,N2EXMIDP,25,0,0,2019010417DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,18,APXMIDP,25,55.3,266.05,2019010418DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,18,N2EXMIDP,25,0,0,2019010418DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,19,APXMIDP,25,57.49,519.9,2019010419DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,19,N2EXMIDP,25,0,0,2019010419DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,20,APXMIDP,25,57.84,610.75,2019010420DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,20,N2EXMIDP,25,0,0,2019010420DF
S0142009,20210505,20190104,DF,7,19,20190104,19,52429,NGC,21,APXMIDP,25,58.8,696.75,2019010421DF
