Data_Flow_ID,Flow_Run_Date,Settlement_Date,Settlement_Run_Type,SAA_Run_Number,CDCA_Run_Number,SVAA_Settlement_Date,SVAA_Run_Number,SSR_Run_Number,BSC_Party_ID,Settlement_Period,Market_Index_Data_Provider_ID,Individual_Liquidity_Threshold,Market_Index_Price,Market_Index_Volume,SortKey
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,1,APXMIDP,25,38.82,75.25,2018040901DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,1,N2EXMIDP,25,0,0,2018040901DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,2,APXMIDP,25,39.14,126.45,2018040902DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,2,N2EXMIDP,25,0,0,2018040902DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,3,APXMIDP,25,40.58,193.3,2018040903DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,3,N2EXMIDP,25,0,0,2018040903DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,4,APXMIDP,25,42.02,219.9,2018040904DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,4,N2EXMIDP,25,0,0,2018040904DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,5,APXMIDP,25,41.49,242.35,2018040905DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,5,N2EXMIDP,25,0,0,2018040905DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,6,N2EXMIDP,25,0,0,2018040906DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,6,APXMIDP,25,40.7,209.2,2018040906DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,7,APXMIDP,25,40.94,150.35,2018040907DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,7,N2EXMIDP,25,0,0,2018040907DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,8,APXMIDP,25,40.98,141.85,2018040908DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,8,N2EXMIDP,25,0,0,2018040908DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,9,N2EXMIDP,25,0,0,2018040909DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,9,APXMIDP,25,40.18,302,2018040909DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,10,N2EXMIDP,25,0,0,2018040910DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,10,APXMIDP,25,40.21,416.9,2018040910DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,11,APXMIDP,25,40.85,114,2018040911DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,11,N2EXMIDP,25,0,0,2018040911DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,12,N2EXMIDP,25,0,0,2018040912DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,12,APXMIDP,25,44.81,25.8,2018040912DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,13,APXMIDP,25,51.93,62.5,2018040913DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,13,N2EXMIDP,25,0,0,2018040913DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,14,APXMIDP,25,42.57,243,2018040914DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,14,N2EXMIDP,25,0,0,2018040914DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,15,APXMIDP,25,52.31,764.25,2018040915DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,15,N2EXMIDP,25,0,0,2018040915DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,16,N2EXMIDP,25,0,0,2018040916DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,16,APXMIDP,25,66.3,274.55,2018040916DF
S0142009,20200804,20180409,DF,7,19,20180409,19,50443,NGC,17,N2EXMIDP,25,0,0,2018040917DF
