Data_Flow_ID,Flow_Run_Date,Settlement_Date,Settlement_Run_Type,SAA_Run_Number,CDCA_Run_Number,SVAA_Settlement_Date,SVAA_Run_Number,SSR_Run_Number,BSC_Party_ID,Settlement_Period,Market_Index_Data_Provider_ID,Individual_Liquidity_Threshold,Market_Index_Price,Market_Index_Volume,SortKey
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,1,N2EXMIDP,25,0,0,2018070601DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,1,APXMIDP,25,0,0,2018070601DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,2,N2EXMIDP,25,0,0,2018070602DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,2,APXMIDP,25,54.7,105.8,2018070602DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,3,APXMIDP,25,49.33,82.5,2018070603DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,3,N2EXMIDP,25,0,0,2018070603DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,4,APXMIDP,25,51.31,161,2018070604DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,4,N2EXMIDP,25,0,0,2018070604DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,5,APXMIDP,25,50.5,215,2018070605DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,5,N2EXMIDP,25,0,0,2018070605DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,6,APXMIDP,25,49.27,211.5,2018070606DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,6,N2EXMIDP,25,0,0,2018070606DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,7,N2EXMIDP,25,0,0,2018070607DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,7,APXMIDP,25,48.42,157.5,2018070607DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,8,APXMIDP,25,48.13,228.5,2018070608DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,8,N2EXMIDP,25,0,0,2018070608DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,9,APXMIDP,25,48.15,283.75,2018070609DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,9,N2EXMIDP,25,0,0,2018070609DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,10,APXMIDP,25,47.87,226,2018070610DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,10,N2EXMIDP,25,0,0,2018070610DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,11,APXMIDP,25,49.12,92,2018070611DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,11,N2EXMIDP,25,0,0,2018070611DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,12,N2EXMIDP,25,0,0,2018070612DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,12,APXMIDP,25,47.92,225,2018070612DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,13,APXMIDP,25,53.65,141,2018070613DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,13,N2EXMIDP,25,0,0,2018070613DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,14,APXMIDP,25,51.34,539.85,2018070614DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,14,N2EXMIDP,25,0,0,2018070614DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,15,APXMIDP,25,53.99,781.45,2018070615DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,15,N2EXMIDP,25,0,0,2018070615DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,16,N2EXMIDP,25,0,0,2018070616DF
S0142009,20201105,20180706,DF,7,19,20180706,19,51127,NGC,16,APXMIDP,25,63.16,425.15,2018070616DF
