SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,GEN_DEM,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW
01-Jan-20,1,26340,600,27153,23821,1244,6465,0,13080,0,15,1703,0,852,-151,-47,854,0,0
01-Jan-20,2,26921,600,27684,24393,1188,6465,0,13080,0,17,1703,0,853,-146,0,854,0,0
01-Jan-20,3,26569,600,27240,24085,1156,6465,0,13080,0,18,1703,0,852,-53,0,854,0,0
01-Jan-20,4,25754,600,26435,23350,1125,6465,0,13080,0,15,1703,0,852,-66,0,854,0,0
01-Jan-20,5,25075,600,25824,22788,1106,6465,0,13080,0,15,1704,0,853,-74,-60,854,0,0
01-Jan-20,6,24468,600,25542,22212,1088,6465,0,13080,0,332,1703,0,845,-74,-68,854,0,0
01-Jan-20,7,23724,600,25226,21455,1098,6465,0,13080,0,828,1703,0,213,-74,0,854,0,0
01-Jan-20,8,23041,600,24573,20859,1107,6465,0,13080,0,858,1703,0,174,-74,0,832,0,0
01-Jan-20,9,22537,600,23822,20472,1132,6465,0,13080,0,593,1704,0,104,-74,0,-18,0,0
01-Jan-20,10,22322,600,23898,20314,1158,6465,0,13080,0,830,1704,0,102,-74,0,-72,0,0
01-Jan-20,11,22358,600,23879,20376,1172,6465,0,13080,0,847,1700,0,316,-74,0,175,0,0
01-Jan-20,12,22511,600,24017,20540,1187,6465,0,13080,0,841,1700,0,336,-65,0,193,0,0
01-Jan-20,13,23354,600,24795,21325,1184,6465,0,13080,0,841,1703,0,587,13,0,808,0,0
01-Jan-20,14,23690,600,25038,21728,1182,6465,0,13080,0,708,1703,0,598,-40,0,839,0,0
01-Jan-20,15,24162,600,25199,22203,1204,6465,0,13080,0,355,1704,0,785,-82,0,853,0,0
01-Jan-20,16,24414,600,25297,22476,1225,6465,0,13080,0,283,1704,0,792,13,0,854,0,0
01-Jan-20,17,24904,600,25618,22941,1229,6465,3,13080,0,114,1704,0,851,14,0,854,0,0
