SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,GEN_DEM,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW
01-Jan-16,1,27700,600,28414,25315,1580,4013,0,9063,0,114,1756,0,870,31,105,0,0,0
01-Jan-16,2,28379,600,29007,26025,1485,4013,0,9063,0,28,1755,0,881,19,27,0,0,0
01-Jan-16,3,28155,600,29063,25804,1385,4013,0,9063,0,308,1755,0,871,76,36,0,0,0
01-Jan-16,4,27147,600,28326,24867,1285,4013,0,9063,0,572,1756,0,887,-7,65,0,0,0
01-Jan-16,5,26154,600,27348,23993,1208,4013,0,9063,0,493,1756,0,880,-101,20,0,0,0
01-Jan-16,6,25635,600,26737,23441,1132,4013,0,9063,0,439,1756,0,867,-63,4,0,0,0
01-Jan-16,7,24824,600,26588,22631,1070,4013,0,9063,0,992,1756,0,866,-100,-72,0,0,0
01-Jan-16,8,23915,600,26223,21763,1007,4013,0,9063,0,1535,1756,0,882,-100,-73,0,0,0
01-Jan-16,9,23364,600,25666,21270,1000,4013,0,9063,0,1529,1756,0,886,-100,-73,0,0,0
01-Jan-16,10,22922,600,25182,20880,994,4013,0,9063,0,1526,1756,0,872,-100,-34,0,0,0
01-Jan-16,11,22854,600,25038,20809,1005,4013,0,9063,0,1521,1756,0,864,-60,-3,0,0,0
01-Jan-16,12,22774,600,25173,20721,1016,4013,0,9063,0,1709,1756,0,869,-90,60,0,0,0
01-Jan-16,13,23385,600,25617,21304,1038,4013,0,9063,0,1616,1752,0,861,-16,91,0,0,0
01-Jan-16,14,23770,600,25754,21674,1061,4013,0,9063,0,1361,1700,0,879,-23,150,0,0,0
01-Jan-16,15,24278,600,25364,22110,1134,4013,0,9063,0,486,345,0,819,14,244,0,0,0
01-Jan-16,16,24397,600,25163,22238,1208,4013,0,9063,0,166,186,0,800,11,287,0,0,0
01-Jan-16,17,24860,600,25473,22698,1290,4013,67,9063,0,13,979,0,774,60,287,0,0,0
01-Jan-16,18,25718,600,26330,23560,1371,4013,165,9063,0,12,942,0,787,113,287,0,0,0
01-Jan-16,19,27104,600,27716,24829,1470,4013,330,9063,0,12,1978,0,984,38,287,0,0,0
01-Jan-16,20,28155,600,28767,25825,1568,4013,462,9063,0,12,1997,0,961,47,286,0,0,0
01-Jan-16,21,29329,600,29941,26870,1681,4013,571,9063,0,12,1996,0,967,163,246,0,0,0
01-Jan-16,22,30352,600,30964,27716,1794,4013,673,9063,0,12,1996,0,965,116,112,0,0,0
01-Jan-16,23,31273,600,31885,28493,1890,4013,700,9063,0,12,1996,0,976,40,31,0,0,0
01-Jan-16,24,32006,600,32682,29123,1987,4013,695,9063,0,12,1996,0,1002,-64,19,0,0,0
01-Jan-16,25,32812,600,33538,29862,2083,4013,667,9063,0,11,1996,0,1018,-53,-62,0,0,0
01-Jan-16,26,33131,600,33987,30110,2179,4013,605,9063,0,12,1996,0,986,-103,-141,0,0,0
01-Jan-16,27,33141,600,34057,30106,2276,4013,499,9063,0,12,1996,0,964,-110,-194,0,0,0
01-Jan-16,28,33062,600,33918,30050,2374,4013,378,9063,0,12,1997,0,987,-85,-159,0,0,0
