SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,GEN_DEM,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW
01-Jan-17,1,27316,600,28013,24789,1634,4871,0,11503,0,97,923,0,857,295,233,0,0,0
01-Jan-17,2,27900,600,28539,25486,1630,4871,0,11503,0,39,997,0,874,297,287,0,0,0
01-Jan-17,3,27588,600,28279,25254,1660,4871,0,11503,0,91,997,0,818,297,287,0,0,0
01-Jan-17,4,26456,600,27819,24270,1689,4871,0,11503,0,763,997,0,822,297,287,0,0,0
01-Jan-17,5,25429,600,27565,23409,1736,4871,0,11503,0,1536,997,0,854,297,281,0,0,0
01-Jan-17,6,24754,600,26738,22785,1782,4871,0,11503,0,1384,998,0,853,297,287,0,0,0
01-Jan-17,7,23789,600,26018,21835,1805,4871,0,11503,0,1629,997,0,853,282,287,0,0,0
01-Jan-17,8,22935,600,25430,20987,1828,4871,0,11503,0,1895,998,0,853,265,287,0,0,0
01-Jan-17,9,22352,600,24720,20498,1845,4871,0,11503,0,1768,362,0,853,164,287,0,0,0
01-Jan-17,10,22037,600,24493,20165,1862,4871,0,11503,0,1856,312,0,853,235,287,0,0,0
01-Jan-17,11,21830,600,24283,19952,1901,4871,0,11503,0,1853,50,0,853,266,287,0,0,0
01-Jan-17,12,21703,600,24142,19814,1940,4871,0,11503,0,1839,20,0,853,263,287,0,0,0
01-Jan-17,13,21967,600,24444,20093,1900,4871,0,11503,0,1770,-107,0,853,242,287,0,0,0
01-Jan-17,14,22174,600,24484,20336,1861,4871,0,11503,0,1646,-64,0,853,242,287,0,0,0
01-Jan-17,15,22473,600,24809,20693,1878,4871,0,11503,0,729,-1007,0,854,242,287,0,0,0
01-Jan-17,16,22692,600,24347,20923,1894,4871,0,11503,0,41,-1014,0,853,242,287,0,0,0
01-Jan-17,17,23513,600,24512,21644,1908,4871,14,11503,0,10,-389,0,899,242,287,0,0,0
01-Jan-17,18,24478,600,25427,22597,1923,4871,82,11503,0,9,-340,0,902,242,287,0,0,0
01-Jan-17,19,25946,600,26554,23951,1909,4871,170,11503,0,8,17,0,995,262,287,0,0,0
01-Jan-17,20,27237,600,27873,25182,1895,4871,283,11503,0,9,-27,0,1000,215,287,0,0,0
01-Jan-17,21,28862,600,29472,26657,1970,4871,399,11503,0,10,976,0,999,221,217,0,0,0
01-Jan-17,22,30128,600,30738,27811,2044,4871,466,11503,0,10,997,0,1000,261,199,0,0,0
01-Jan-17,23,31282,600,31890,28846,2140,4871,553,11503,0,8,997,0,999,256,286,0,0,0
01-Jan-17,24,32144,600,32753,29633,2235,4871,565,11503,0,9,997,0,999,48,287,0,0,0
01-Jan-17,25,33026,599,33750,30495,2344,4871,539,11503,0,6,997,0,999,-119,287,0,0,0
01-Jan-17,26,33438,599,34156,30869,2453,4871,542,11503,0,5,998,0,1000,-114,248,0,0,0
01-Jan-17,27,33443,599,34211,30974,2506,4871,504,11503,0,4,952,0,999,-165,183,0,0,0
01-Jan-17,28,33363,600,34136,30951,2560,4871,448,11503,0,5,949,0,999,-168,155,0,0,0
01-Jan-17,29,33524,600,34253,31148,2583,4871,344,11503,0,5,950,0,1000,-124,164,0,0,0
01-Jan-17,30,33620,600,34372,31253,2606,4871,282,11503,0,5,949,0,1000,-147,194,0,0,0
01-Jan-17,31,34024,600,34714,31582,2541,4871,178,11503,0,7,996,0,1000,-83,251,0,0,0
01-Jan-17,32,34796,600,35512,32422,2476,4871,49,11503,0,6,998,0,1000,-110,287,0,0,0
01-Jan-17,33,36276,600,37064,33664,2450,4871,0,11503,0,8,998,0,865,-180,287,0,0,0
01-Jan-17,34,37689,600,38454,34917,2425,4871,0,11503,0,9,998,0,851,-156,287,0,0,0
01-Jan-17,35,38115,600,38768,35316,2391,4871,0,11503,0,6,998,0,851,-47,287,0,0,0
01-Jan-17,36,37990,600,38747,35113,2357,4871,0,11503,0,9,998,0,851,-148,287,0,0,0
01-Jan-17,37,37431,600,38316,34609,2350,4871,0,11503,0,5,951,0,994,-280,287,0,0,0
01-Jan-17,38,36577,600,37394,33787,2344,4871,0,11503,0,7,934,0,1000,-210,287,0,0,0
01-Jan-17,39,35683,600,37034,32993,2303,4871,0,11503,0,7,-523,0,822,-221,287,0,0,0
01-Jan-17,40,34605,600,36012,31837,2262,4871,0,11503,0,10,-616,0,802,-181,279,0,0,0
01-Jan-17,41,34149,600,34938,31391,2212,4871,0,11503,0,6,291,0,873,-183,249,0,0,0
01-Jan-17,42,33187,600,33994,30415,2162,4871,0,11503,0,8,342,0,877,-199,174,0,0,0
01-Jan-17,43,31945,600,32901,29299,2113,4871,0,11503,0,14,-132,0,922,-210,257,0,0,0
01-Jan-17,44,30773,600,31692,28154,2064,4871,0,11503,0,14,-141,0,925,-164,287,0,0,0
01-Jan-17,45,29604,600,30953,27090,2011,4871,0,11503,0,7,-640,0,710,-102,287,0,0,0
01-Jan-17,46,28814,600,29964,26071,1958,4871,0,11503,139,11,-678,0,689,2,287,0,0,0
01-Jan-17,47,27158,600,28530,24346,1804,4871,0,11503,194,23,-876,0,865,-67,287,0,0,0
01-Jan-17,48,26110,600,27705,23533,1651,4871,0,11503,53,21,-926,0,904,-101,287,0,0,0
02-Jan-17,1,25943,600,26716,23487,1618,4871,0,11503,0,19,1,0,881,-154,287,0,0,0
02-Jan-17,2,26226,600,26915,23777,1586,4871,0,11503,0,17,25,0,940,-72,287,0,0,0
02-Jan-17,3,26140,600,27136,23695,1568,4871,0,11503,0,317,654,0,877,-79,287,0,0,0
02-Jan-17,4,25295,600,26692,22938,1550,4871,0,11503,0,797,706,0,894,46,287,0,0,0
02-Jan-17,5,24842,600,26666,22553,1530,4871,0,11503,0,1224,794,0,902,97,287,0,0,0
02-Jan-17,6,24669,600,26569,22357,1511,4871,0,11503,0,1300,809,0,902,107,287,0,0,0
02-Jan-17,7,24151,600,26449,21845,1490,4871,0,11503,0,1698,605,0,902,107,287,0,0,0
02-Jan-17,8,23643,600,26099,21323,1470,4871,0,11503,0,1856,622,0,902,107,287,0,0,0
02-Jan-17,9,23349,600,25788,21081,1456,4871,0,11503,0,1839,227,0,901,107,287,0,0,0
02-Jan-17,10,23345,600,25774,21122,1442,4871,0,11503,0,1829,235,0,902,107,287,0,0,0
02-Jan-17,11,23575,600,25952,21366,1436,4871,0,11503,0,1731,-46,0,892,107,287,0,0,0
02-Jan-17,12,24006,600,26275,21773,1431,4871,0,11503,0,1617,-52,0,900,107,287,0,0,0
02-Jan-17,13,25273,600,27142,22981,1408,4871,0,11503,0,1178,-91,0,897,138,267,0,0,0
02-Jan-17,14,26246,600,27784,23948,1386,4871,0,11503,0,892,-46,0,872,143,221,0,0,0
02-Jan-17,15,27126,600,28358,24887,1383,4871,0,11503,0,33,-551,0,424,-48,158,0,0,0
02-Jan-17,16,27710,600,28910,25516,1380,4871,0,11503,0,17,-528,0,387,-55,96,0,0,0
02-Jan-17,17,28972,600,30651,26562,1356,4871,61,11503,0,9,-1015,0,646,-55,116,0,0,0
02-Jan-17,18,30382,600,32078,27928,1331,4871,404,11503,0,10,-1020,0,670,-66,132,0,0,0
02-Jan-17,19,31704,600,33389,29135,1343,4871,1120,11503,0,9,-1020,0,864,-56,40,0,0,0
02-Jan-17,20,32513,600,34160,29817,1355,4871,2010,11503,0,10,-1020,0,876,-17,5,0,0,0
02-Jan-17,21,33075,600,34733,30254,1380,4871,2770,11503,0,9,-1020,0,948,51,-29,0,0,0
02-Jan-17,22,33195,600,34876,30302,1404,4871,3340,11503,0,6,-1021,0,957,-54,8,0,0,0
02-Jan-17,23,33197,600,34898,30199,1408,4871,3690,11503,0,6,-1021,0,939,-45,-29,0,0,0
02-Jan-17,24,33141,600,35075,30086,1412,4871,4060,11503,0,5,-1021,0,926,-230,-78,0,0,0
02-Jan-17,25,33307,600,35301,30260,1440,4871,4030,11503,0,4,-1021,0,957,-257,-112,0,0,0
02-Jan-17,26,33359,600,35367,30281,1469,4871,4000,11503,0,5,-1021,0,959,-257,-125,0,0,0
02-Jan-17,27,33541,600,35395,30531,1466,4871,3700,11503,0,5,-921,0,968,-257,-71,0,0,0
02-Jan-17,28,33756,600,35582,30782,1462,4871,3150,11503,0,5,-919,0,969,-257,-45,0,0,0
02-Jan-17,29,34254,600,36014,31365,1451,4871,2460,11503,0,5,-818,0,998,-257,-80,0,0,0
02-Jan-17,30,34984,600,36744,32102,1440,4871,1700,11503,0,5,-818,0,1000,-257,-80,0,0,0
02-Jan-17,31,36065,600,37690,33085,1396,4871,878,11503,0,4,-709,0,776,-257,-55,0,0,0
02-Jan-17,32,37532,600,39153,34491,1353,4871,263,11503,0,9,-755,0,751,-257,10,0,0,0
02-Jan-17,33,39702,600,40633,36474,1346,4871,22,11503,0,12,108,0,735,-319,41,0,0,0
02-Jan-17,34,42907,600,43872,39398,1338,4871,0,11503,68,11,63,0,760,-422,79,0,0,0
02-Jan-17,35,44631,600,45552,40875,1326,4871,0,11503,171,7,986,0,1026,-455,-30,0,0,0
02-Jan-17,36,44898,600,45901,41068,1313,4871,0,11503,184,12,998,0,998,-455,-120,0,0,0
02-Jan-17,37,44329,600,45429,40619,1310,4871,0,11503,147,19,998,0,997,-397,-231,0,0,0
