SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,GEN_DEM,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW
01-Jan-14,1,30008,600,31920,27048,1084,2434,0,3349,0,870,1990,0,1000,-157,-285,0,0,0
01-Jan-14,2,30589,600,32491,27625,1079,2434,0,3349,0,860,1990,0,1000,-157,-285,0,0,0
01-Jan-14,3,30306,600,32521,27361,1079,2434,0,3349,0,1173,1990,0,1000,-157,-285,0,0,0
01-Jan-14,4,29280,600,31735,26447,931,2434,0,3349,0,1413,1992,0,1000,-157,-285,0,0,0
01-Jan-14,5,28174,600,30661,25461,931,2434,0,3349,0,1417,1748,0,880,-157,-313,0,0,0
01-Jan-14,6,27456,600,29992,24740,994,2434,0,3349,0,1529,1742,0,880,-157,-250,0,0,0
01-Jan-14,7,26391,600,28888,23703,994,2434,0,3349,0,1524,1741,0,659,-157,-216,0,0,0
01-Jan-14,8,25367,600,27786,22736,950,2434,0,3349,0,1520,1742,0,659,-157,-142,0,0,0
01-Jan-14,9,24500,600,26798,22007,950,2434,0,3349,0,1516,1742,0,610,-157,-25,0,0,0
01-Jan-14,10,23943,600,26264,21543,963,2434,0,3349,0,1564,1742,0,609,-157,49,0,0,0
01-Jan-14,11,23657,600,25976,21340,963,2434,0,3349,0,1559,1741,0,860,-152,-8,0,0,0
01-Jan-14,12,23544,600,25903,21241,1017,2434,0,3349,0,1545,1742,0,860,-142,-72,0,0,0
01-Jan-14,13,24010,600,26167,21691,1017,2434,0,3349,0,1464,1741,0,880,-72,-21,0,0,0
01-Jan-14,14,24199,600,26442,21886,1054,2434,0,3349,0,1405,1742,0,880,-162,-76,0,0,0
01-Jan-14,15,24490,600,26243,22121,1054,2434,0,3349,0,837,1741,0,880,-138,-178,0,0,0
01-Jan-14,16,24456,600,25946,22098,1193,2434,0,3349,0,485,1742,0,880,-174,-231,0,0,0
01-Jan-14,17,24958,600,26162,22610,1193,2434,7,3349,0,103,1741,0,880,-229,-272,0,0,0
01-Jan-14,18,25773,600,26978,23428,1237,2434,27,3349,0,35,1740,0,880,-242,-328,0,0,0
01-Jan-14,19,27274,600,28402,24847,1237,2434,52,3349,0,16,1982,0,784,-242,-270,0,0,0
01-Jan-14,20,28917,600,30083,26341,1332,2434,76,3349,0,13,1991,0,783,-242,-311,0,0,0
01-Jan-14,21,30729,600,32032,27978,1332,2434,90,3349,0,9,1991,0,1000,-242,-452,0,0,0
01-Jan-14,22,32354,600,33724,29454,1339,2434,103,3349,0,8,1991,0,1000,-242,-520,0,0,0
01-Jan-14,23,33735,600,35115,30728,1339,2434,102,3349,0,8,1991,0,1000,-242,-530,0,0,0
01-Jan-14,24,34964,600,36353,31827,1482,2434,102,3349,0,9,1991,0,1000,-250,-530,0,0,0
01-Jan-14,25,36270,600,37526,32915,1482,2434,91,3349,135,10,1991,0,1000,-251,-530,0,0,0
01-Jan-14,26,36676,600,37873,33162,1509,2434,82,3349,198,14,1991,0,1000,-251,-530,0,0,0
01-Jan-14,27,36721,600,37967,33248,1509,2434,77,3349,147,12,1990,0,1000,-251,-530,0,0,0
01-Jan-14,28,36597,600,37983,33288,1353,2434,65,3349,7,12,1990,0,1000,-251,-530,0,0,0
01-Jan-14,29,36528,600,37918,33262,1353,2434,49,3349,0,9,1991,0,1000,-251,-530,0,0,0
01-Jan-14,30,36420,600,37810,33141,1622,2434,35,3349,0,9,1991,0,1000,-251,-530,0,0,0
01-Jan-14,31,36582,600,37906,33228,1622,2434,19,3349,0,9,1991,0,1000,-251,-464,0,0,0
01-Jan-14,32,37139,600,38426,33725,1484,2434,17,3349,0,9,1990,0,1000,-251,-427,0,0,0
01-Jan-14,33,38659,600,39933,35112,1484,2434,0,3349,0,9,1991,0,1000,-185,-480,0,0,0
01-Jan-14,34,39717,600,40993,36144,1492,2434,0,3349,0,12,1990,0,1000,-184,-480,0,0,0
01-Jan-14,35,40491,600,41792,36907,1492,2434,0,3349,0,11,1990,0,1000,-251,-439,0,0,0
01-Jan-14,36,40218,600,41511,36676,1499,2434,0,3349,0,12,1991,0,1000,-251,-430,0,0,0
01-Jan-14,37,39312,600,40612,35881,1499,2434,0,3349,0,16,1990,0,1000,-246,-438,0,0,0
01-Jan-14,38,38536,600,39847,35083,1476,2434,0,3349,0,15,1991,0,1000,-216,-480,0,0,0
01-Jan-14,39,37499,600,38803,34132,1476,2434,0,3349,0,14,1991,0,1000,-251,-439,0,0,0
01-Jan-14,40,36604,600,37898,33275,1413,2434,0,3349,0,13,1991,0,1000,-251,-430,0,0,0
01-Jan-14,41,35782,600,37076,32443,1413,2434,0,3349,0,13,1990,0,1000,-251,-430,0,0,0
01-Jan-14,42,34380,600,35661,31250,1355,2434,0,3349,0,15,1990,0,1000,-251,-415,0,0,0
01-Jan-14,43,33525,600,34758,30477,1355,2434,0,3349,0,13,1990,0,1000,-251,-369,0,0,0
01-Jan-14,44,32036,600,33310,29135,1296,2434,0,3349,0,12,1990,0,1000,-251,-411,0,0,0
01-Jan-14,45,30737,600,32007,27916,1296,2434,0,3349,0,9,1990,0,1000,-251,-410,0,0,0
01-Jan-14,46,29769,600,31038,26917,1270,2434,0,3349,0,12,1990,0,1000,-251,-406,0,0,0
01-Jan-14,47,28086,600,29592,25357,1270,2434,0,3349,0,265,1989,0,1000,-251,-390,0,0,0
01-Jan-14,48,27061,600,28947,24443,1273,2434,0,3349,0,672,1991,0,1000,-237,-377,0,0,0
02-Jan-14,1,27103,600,29181,24564,1273,2434,0,3352,0,1017,1844,0,928,-176,-285,0,0,0
02-Jan-14,2,27423,600,29599,24914,1144,2434,0,3352,0,1189,1840,0,928,-138,-249,0,0,0
02-Jan-14,3,27053,600,29439,24602,1144,2434,0,3352,0,1470,1840,0,928,-175,-141,0,0,0
02-Jan-14,4,26289,600,28604,23890,1153,2434,0,3352,0,1516,1839,0,927,-175,-24,0,0,0
02-Jan-14,5,25768,600,27993,23428,1153,2434,0,3352,0,1516,1840,0,928,-109,25,0,0,0
02-Jan-14,6,25666,600,27890,23290,1002,2434,0,3352,0,1516,1839,0,928,-108,100,0,0,0
02-Jan-14,7,24989,600,27269,22569,1002,2434,0,3352,0,1504,1839,0,928,-176,126,0,0,0
02-Jan-14,8,24384,600,26658,22000,1014,2434,0,3352,0,1499,1839,0,928,-175,176,0,0,0
02-Jan-14,9,23970,600,26211,21689,1014,2434,0,3352,0,1481,1838,0,928,-160,226,0,0,0
02-Jan-14,10,23885,600,26103,21654,1074,2434,0,3352,0,1468,1838,0,928,-150,272,0,0,0
02-Jan-14,11,24522,600,26634,22330,1074,2434,0,3352,0,1345,1839,0,928,-167,177,0,0,0
